  0%|                                                                                                                                                                                     | 0/6468 [00:00<?, ?it/s]Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                                                                                                                                                                                   
{'loss': 1.808, 'grad_norm': 11.38990306854248, 'learning_rate': 4.908008658008658e-05, 'epoch': 0.02}
{'loss': 1.5321, 'grad_norm': 10.095252990722656, 'learning_rate': 4.907235621521336e-05, 'epoch': 0.02}
{'loss': 1.8278, 'grad_norm': 10.130317687988281, 'learning_rate': 4.906462585034014e-05, 'epoch': 0.02}
{'loss': 1.7745, 'grad_norm': 11.281147003173828, 'learning_rate': 4.905689548546691e-05, 'epoch': 0.02}
{'loss': 1.6187, 'grad_norm': 11.304723739624023, 'learning_rate': 4.9049165120593696e-05, 'epoch': 0.02}
{'loss': 2.1635, 'grad_norm': 11.01300048828125, 'learning_rate': 4.904143475572047e-05, 'epoch': 0.02}
{'loss': 2.0514, 'grad_norm': 10.8716402053833, 'learning_rate': 4.903370439084725e-05, 'epoch': 0.02}
{'loss': 1.6147, 'grad_norm': 10.160296440124512, 'learning_rate': 4.902597402597403e-05, 'epoch': 0.02}
{'loss': 1.8357, 'grad_norm': 9.09552001953125, 'learning_rate': 4.90182436611008e-05, 'epoch': 0.02}
{'loss': 1.9153, 'grad_norm': 15.291092872619629, 'learning_rate': 4.9010513296227584e-05, 'epoch': 0.02}
{'loss': 2.1354, 'grad_norm': 10.124245643615723, 'learning_rate': 4.900278293135436e-05, 'epoch': 0.02}
{'loss': 2.0576, 'grad_norm': 9.907759666442871, 'learning_rate': 4.8995052566481144e-05, 'epoch': 0.02}
{'loss': 1.4082, 'grad_norm': 11.746277809143066, 'learning_rate': 4.8987322201607914e-05, 'epoch': 0.02}
{'loss': 1.4915, 'grad_norm': 12.877514839172363, 'learning_rate': 4.89795918367347e-05, 'epoch': 0.02}
{'loss': 1.7613, 'grad_norm': 12.063858985900879, 'learning_rate': 4.897186147186147e-05, 'epoch': 0.02}
{'loss': 1.302, 'grad_norm': 13.677884101867676, 'learning_rate': 4.8964131106988256e-05, 'epoch': 0.02}
{'loss': 1.9296, 'grad_norm': 12.004867553710938, 'learning_rate': 4.895640074211503e-05, 'epoch': 0.02}
{'loss': 2.1158, 'grad_norm': 11.39723014831543, 'learning_rate': 4.894867037724181e-05, 'epoch': 0.02}
{'loss': 1.7901, 'grad_norm': 12.424592018127441, 'learning_rate': 4.8940940012368586e-05, 'epoch': 0.02}
{'loss': 1.9706, 'grad_norm': 12.983835220336914, 'learning_rate': 4.893320964749536e-05, 'epoch': 0.02}
{'loss': 1.4947, 'grad_norm': 12.93883991241455, 'learning_rate': 4.8925479282622145e-05, 'epoch': 0.02}
{'loss': 1.7152, 'grad_norm': 10.667120933532715, 'learning_rate': 4.8917748917748915e-05, 'epoch': 0.02}
{'loss': 1.6391, 'grad_norm': 6.613717079162598, 'learning_rate': 4.89100185528757e-05, 'epoch': 0.02}
{'loss': 1.4806, 'grad_norm': 10.816839218139648, 'learning_rate': 4.8902288188002474e-05, 'epoch': 0.02}
{'loss': 1.7245, 'grad_norm': 11.295418739318848, 'learning_rate': 4.889455782312926e-05, 'epoch': 0.02}
{'loss': 1.1945, 'grad_norm': 11.719874382019043, 'learning_rate': 4.888682745825603e-05, 'epoch': 0.02}
{'loss': 1.766, 'grad_norm': 8.75687026977539, 'learning_rate': 4.887909709338281e-05, 'epoch': 0.02}
{'loss': 1.9969, 'grad_norm': 13.811305046081543, 'learning_rate': 4.887136672850959e-05, 'epoch': 0.02}
{'loss': 2.0115, 'grad_norm': 11.742396354675293, 'learning_rate': 4.886363636363637e-05, 'epoch': 0.02}
{'loss': 1.0471, 'grad_norm': 12.946483612060547, 'learning_rate': 4.8855905998763146e-05, 'epoch': 0.02}
{'loss': 1.0697, 'grad_norm': 9.651029586791992, 'learning_rate': 4.884817563388992e-05, 'epoch': 0.02}
{'loss': 1.9433, 'grad_norm': 14.461878776550293, 'learning_rate': 4.88404452690167e-05, 'epoch': 0.02}
{'loss': 1.9438, 'grad_norm': 16.5259952545166, 'learning_rate': 4.8832714904143475e-05, 'epoch': 0.02}
